WKT,STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y
"POINT (172.095973704114 -42.7037162158881)",OPEN,Hurunui Hut,Buildings,Standard Hut,172.095973704,-42.7037162159
"POINT (171.44815178417 -42.9598725005878)",OPEN,Carrington Hut,Buildings,Serviced Hut,171.448151784,-42.9598725006
"POINT (172.175514630508 -42.5897565643976)",OPEN,Top Hope Hut,Buildings,Basic Hut/bivvy,172.175514631,-42.5897565644
"POINT (172.018457432852 -42.6483247417462)",OPEN,Mackenzie Hut,Buildings,Standard Hut,172.018457433,-42.6483247417
"POINT (171.952242162913 -42.7114069073949)",OPEN,Camerons Hut,Buildings,Basic Hut/bivvy,171.952242163,-42.7114069074
"POINT (171.896634093941 -42.7250141499943)",OPEN,Harper Pass Bivvy,Buildings,Basic Hut/bivvy,171.896634094,-42.72501415
"POINT (172.152217742339 -42.6593979557736)",OPEN,Three Mile Stream Hut,Buildings,Standard Hut,172.152217742,-42.6593979558
"POINT (173.38302244503 -41.4738511384696)",OPEN,Richmond Saddle Hut,Buildings,Standard Hut,173.383022445,-41.4738511385
"POINT (171.756544243026 -43.3689307175645)",OPEN,Benmore Hut,Buildings,Basic Hut/bivvy,171.756544243,-43.3689307176
"POINT (177.218800436495 -38.457779303759)",OPEN,#Tataweka Hut,Buildings,Standard Hut,177.218800436,-38.4577793038
"POINT (168.153530448324 -45.2062557921388)",OPEN,West Burn Hut,Buildings,Basic Hut/bivvy,168.153530448,-45.2062557921
"POINT (176.334832254854 -39.5888149409559)",OPEN,Herricks Hut,Buildings,Basic Hut/bivvy,176.334832255,-39.588814941
"POINT (176.138957844748 -39.9708698204139)",OPEN,Awatere Hut,Buildings,Basic Hut/bivvy,176.138957845,-39.9708698204
"POINT (176.281201432161 -39.6687005491398)",OPEN,Sentry Box Hut,Buildings,Standard Hut,176.281201432,-39.6687005491
"POINT (167.3090499148 -45.0480195631166)",OPEN,Caswell Sound Hut,Buildings,Basic Hut/bivvy,167.309049915,-45.0480195631
"POINT (176.267469396251 -39.5421883408919)",OPEN,Taruarau Bivvy,Buildings,Basic Hut/bivvy,176.267469396,-39.5421883409
"POINT (176.293874906492 -39.5098883194588)",OPEN,Shutes Hut,Buildings,Standard Hut,176.293874906,-39.5098883195
"POINT (176.199587204773 -39.6797535808801)",OPEN,Kylie Bivvy,Buildings,Basic Hut/bivvy,176.199587205,-39.6797535809
"POINT (176.179286529606 -39.7380239354124)",OPEN,Sparrowhawk Bivvy,Buildings,Basic Hut/bivvy,176.17928653,-39.7380239354
"POINT (168.327380865645 -45.4457715907725)",OPEN,Upper Cromel Hut,Buildings,Basic Hut/bivvy,168.327380866,-45.4457715908
"POINT (176.250552882089 -39.6775080366644)",OPEN,Parks Peak Hut,Buildings,Standard Hut,176.250552882,-39.6775080367
"POINT (168.222257262858 -45.0509235076718)",OPEN,Taipo Hut,Buildings,Standard Hut,168.222257263,-45.0509235077
